label	postag	postag2	category	gen	num	pers	case	vib	tam	category2	gen2	num2	pers2	case2	vib2	tam2	prec
nmod	[NNP, CC, NST, NN, QF, RP, NEG, RB, QC, VM, JJ, PRP]	[NNP, NST, NN, QC, VM, JJ, PRP]	[num, n, unk, nst, pn, v, avy, adj, adv]	-	-	-	-	[0_सहित, 0_सक+ता_है, 0_जैसा, था, ना_जा+ना_वाला, या_है, 0_पर, 0_के_साथ, 0_के, 0_पूर्व, 0_में_से, ना_वाला, 0_द्वारा, का, 0_के_नजदीक, ता_है, 0_का, या, कर, 0_के_निकट, ना_का, 0_वाला, या_जा+ना_वाला, 0, 0_के_लिए, 0_से, 0_में, 0_समेत]	[0, nA, kara, ke, WA, yA, kA, meM, wA]	[num, n, nst, unk, pn, v, adj]	-	-	-	-	[0_तक, 0_के_बीच, 0_सहित, 0_के_समय, 0_के_पास, को, 0_पहले, 0_के_ऊपर, 0_पर, 0_के_साथ, 0_के_मुताबिक, 0_साथ, 0_के_कारण, 0_के_मद्देनज़र, 0_के, 0_के_अनुसार, 0_में_से, 0_के_तहत, 0_द्वारा, का, 0_के_जरिये, 0_को, 0_का, 0_के_समान, 0_के_खिलाफ, 0_के_बाद, 0_ने, एं, 0_वाला, 0, 0_के_रूप_में, 0_का_ओर_से, 0_के_लिए, 0_से, 0_के_बारे_में, 0_में, 0_समेत]	[0, ke, eM, ko, kA]	1
nmod_emph	[PRP]	[NN, PRP, NNP]	[pn]	[m]	[sg]	-	[d]	[0]	[0]	[pn, n]	-	-	[3]	-	[0_ने, 0]	[0]	1
nmod_k1inv	[VM]	[PRP, QC, NN, NNP]	[v]	-	-	-	[o]	[0_चुक+या, ता, ता_हो+या, या_जा_रह+या, या, 0_रह+या, 0_जा+या१, ना_वाला, कर, या_हो+या, या_जा+या1, या_जा+या१]	[nA, 0, yA, kara, wA]	[pn, num, n]	-	-	[3]	-	[0_ने, 0_के, 0_के_बीच, 0_के_मुताबिक, 0_के_मद्देनजर, 0_के_साथ, 0, ने, 0_के_मद्देनज़र, 0_का, 0_से, 0_पर, 0_में, 0_के_कारण, 0_के_लिए, 0_के_दौरान, 0_के_बारे_में, 0_के_बाद, 0_को]	[0, ne]	1
pof	[RB, NN, JJ, VM, NST, UNK, NNP, CC, WQ, QF]	[VM]	[nst, pn, adv, adj, v, avy, unk, n]	-	-	-	-	[0_तक, कर, ना, 0_के_समान, 0_से_बाहर, 0, 0_से]	[kara, 0, nA]	[unk, v]	-	-	-	-	-	[nA, hE, WA, kara, wA, gA, yA, eM, 0]	1
rbmod	[NN]	[RB]	[n]	[f]	 [sg]	[3]	[d]	[0]	[0]	[adv]	-	-	-	-	-	-	1
lwg_psp	[PSP, NST]	[NN, PRP, VM, RB, NST, NNP, QC]	[nst, n, adj, psp]	-	-	[3]	-	[का]	[ kA]	[v, pn, nst, adv, n, num]	-	-	-	-	[0_अलावा, 0_का_तुलना_में, 0_के, 0_के_ऊपर, ना_के_नाते, 0_के_समीप, या_रख+ना_का, 0_के_पास, 0_के_बीच_का, 0_के_मद्देनज़र, 0_के_का, 0_के_जरिये, ना_के_बाद_से, ता_समय, ना_के_प्रति, 0_के_तहत, 0_के_आसपास, 0_से, ना_वाला_का, या_रख+ना_के_लिए, 0_अतिरिक्त, 0, 0_के_सौजन्य_से, या_जा+ना_के_बाद, 0_के_बराबर, ना_के_बावजूद, 0_स्वरूप, 0_के_अनुसार, 0_ओर, 0_पूर्व, 0_पा+ना_के_बाद, 0_खिलाफ, 0_बारे_में, ना_जा+ना_वाला, 0_तक_का, 0_डाल+ना_का, 0_के_समान, 0_जा+ना_का, 0_का_तरफ_से, 0_वाला, ना_वाला_में, 0_का_तरफ_का, 0_तक, 0_द्वारा, 0_वजह_से, 0_पहले, या_जा+ना_के_लिए, 0_जा+ना_में, 0_के_तरफ, 0_पास, 0_एवज_में, 0_के_सामने, ना_वाला_के_खिलाफ, 0_के_रूप_में, 0_के_संबंध_में, 0_के_दौरान, ना_तक, 0_बजाय, या_जा+ना_वाला, 0_के_लिए, या_जा+ना_पर, 0_के_समक्ष, 0_से_पहले, 0_चलते, 0_मद्देनजर, 0_के_बाद_से, ना_के_बारे_में, या_हो+ना_का, 0_उलट, 0_ऊपर, 0_का_जगह, 0_का_ओर_से, ना_के_कारण, 0_सहित, ना_से_पूर्व_का, ना_वाला, 0_पीछे, 0_के_वक्त, 0_के_बजाय, ना_के_पीछे, 0_के_तौर_पर, ना_के_बाद, 0_के_नीचे, ना_के_लिए, 0_के_अंदर, 0_को, 0_के_बाहर, ना_को, 0_पहले_तक, 0_के_साथ, ना_के_बीच, 0_से_बाहर, 0_के_विपरीत, 0_के_बावजूद, 0_के_मद्देनजर, 0_के_बाद, ना_हेतु, ना_पर, 0_के_अलावा, 0_बाबत, ना_के_मद्देनजर, 0_के_कारण, 0_के_हवाला_से, या_जा+ना_के_कारण, 0_का_बजाय, ना_वाला_को, या_रह+ना_का, ना_से_पहले, 0_दूर, 0_का_अपेक्षा, या_जा+ना_से, 0_आसपास_का, 0_के_खिलाफ, 0_में_से, 0_के_प्रति, 0_के_चलते, 0_के_हिसाब_से, या_जा+ना_का, 0_जैसा, 0_के_समय, 0_के_मुकाबला, ना_के_अलावा, ना_से, 0_के_विरोध_में, 0_के_निकट, 0_के_अनुरूप, ना_के, 0_के_करीब, 0_सामने, 0_में, 0_का, 0_ने, ना_का_वजह_से, 0_से_पूर्व_का, 0_तहत, 0_के_मद्देनज़र, 0_से_आगे, 0_के_पास_से, 0_पश्चात, 0_का_अपेक्षाकृत, ना_के_साथ, ना_में, 0_के_बराबर_का, ना_के_दौरान, ना_जैसा, 0_बावजूद, 0_बकौल, ना_का, 0_मुताबिक, 0_के_मुताबिक, ना_लायक, 0_का_तरह, ना_का_बाबत, 0_बाद, 0_समेत, 0_अंदर, ना_के_खिलाफ, 0_जा+ना_से, 0_पर, 0_लिए, 0_का_ओर, 0_जा+ना_के_बाद, या_जा+ना_में, 0_के_बारे_में, 0_के_नाते, 0_का_वजह_से, 0_के_नजदीक, 0_के_पीछे, 0_बदले, 0_के_बीच, 0_साथ]	[meM, nA, kA, wA, se, ke, yA, 0]	1
rsp	[NN, VM, NNP, QC, PRP]	[NN, NNP]	[num, n, v, pn]	-	-	-	-	[0_से, कर]	[0, kara]	[n]	-	[sg]	[3]	[o]	[0_के_बीच, 0_तक, 0_के_दौरान, 0_पर]	[0]	1
main	[NN, SYM, NNP, CC, VM]	[ROOT]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
r6-k2	[VM, SYM, QC, PRP, CC, NNP, NN]	[JJ, NN]	[n, v, punc, num, avy, pn]	-	-	-	-	[या_रख+ना_का, 0_का, ना_का, 0_डाल+ना_का, का, 0, या_जा+ना_का]	[kA, yA, 0, nA]	[n,adj]	-	-	[3]	-	[0]	[0]	1
rh	[NNP, CC, NN, PRP, VM]	[PRP, VM]	[avy, n, pn, v]	-	-	-	-	[0, ना_के_नाते, 0_जा+ना_से, 0_चलते, ना_के_कारण, ना_पर, या_जा+ना_के_कारण, 0_वजह_से, 0_के_कारण, से, 0_से, 0_के_दौरान, 0_के_चलते, ना_के_पीछे, ना_का_वजह_से, या_जा_सक+ता_है, 0_का_वजह_से, है, या_जा+ना_से, 0_के_लिए, ना_से]	[0, yA, ke, kA, se, hE, nA]	[pn, unk, v]	-	-	-	[o]	[0, था, ना_पड़_रह+या_था, या_जा+ता, 0_सक+ता_है, या_जा_सक+गा, 0_दे+या_जा+या1_है, ना_पड़+या, या_जा+या1_है, ता, या_जा_सक+एं, या_जा+गा, 0_दे+या_जा+या1, ना_के_कारण, या_जा+ना_चाहिए, 0_उठ+या, 0_रह+या, ना_पड़_रह+या_है, 0_है, ना_वाला, ना_है, ता_था, 0_जा+या१_है, या_जा+या१, या_था, या_है, ना_का, 0_रह+या_था, ना_चाहिए, ता_जा_रह+या_है, या_जा+ना_वाला, या, ता_है, ना_हो+गा, 0_पा+गा, 0_जा+या१_था, 0_जा+ता_है, 0_दे+या, या_जा+या1, 0_जा+ता, या_जा_रह+या_है, गा, 0_जा+या१, या_जा+या१_है, 0_आ+गा, 0_सक+या, या_जा_सक+ता, या_जा_सक+ता_है, 0_दे+या_जा+एं, है, 0_जा+गा, कर, 0_जा+या1, 0_सक+गा, 0_चुक+या_है, 0_रह+या_है]	[0, , wA, yA, WA, kara, hE, nA, gA]	1
k2s	[CC, JJ, PRP, NNP, QF, VM, NN, QC]	[VM]	[n, unk, adj, num, pn, v, avy]	-	-	-	-	[0_से, ना, 0_तक, 0]	[nA, 0]	[v]	-	-	-	-	[कर, या_जा+गा, ना_जा+ता_है, या_है, या_जा+या१_है, या, या_दे+या_है, ना_के_लिए, या_जा_रह+या_है, ना_पर, ना_को, या_जा+ना_का, ना_वाला, ना_में, ता_था, ना_का, 0_जा+या१_था, या_जा_सक+ता, ना_के_मद्देनजर, या_जा+या१_था, 0_जा+या१_है, या_जा+एं, ता_हो+या, 0_दे+या_जा+या1_है, या_था, ना, या_जा+या1_है, या_जा+ता_है, या_जा+या१, ता_है, गा, 0_दे+या, 0_सक+ता_है]	[gA, kara, wA, nA, yA, 0]	1
undef	[PRP]	[VM]	[pn]	-	-	-	-	-	-	[v]	[m]	-	-	-	[ना_दे+या_जा+ना_चाहिए ]	[nA]	1
rsym	[SYM]	-	[punc]	-	-	-	-	-	-	-	-	-	-	-	-	-	1
lwg_rp	[RP]	[NN, RB, CC, WQ, JJ, QC, INTF, QF, VAUX, NST, VM, NNP, PRP]	[avy, adj]	-	-	-	-	-	-	[adv, n, nst, pn, v, adj, avy, num]	-	-	-	-	[0_को, 0_में, 0_मद्देनजर, 0_के_प्रति, 0_का_तरफ_से, ना_का, 0, का, 0_जैसा, ता, कर, 0_के_लिए, ता_रह+गा, 0_के_सामने, ना_पर, 0_के_समान, 0_लिए, से, 0_पर, 0_से, 0_के_खिलाफ, 0_का, 0_तक, 0_के, 0_ने, 0_पा+या_है, 0_के_का, ना, 0_के_रूप_में, 0_के_जरिये, या, ना_के_लिए, में, ना_से, 0_के_बारे_में, 0_के_बावजूद]	[yA, nA, meM, se, kA, 0, ke, wA, kara]	1
rad	[VM]	[VM]	[v]	-	[sg]	[2h]	-	[एं]	[eM]	[v]	-	[pl]	[3]	-	[एं]	[eM]	1
nmod_relc	[CC, VM]	[PRP, CC, NN, NNP]	[v, avy, unk]	-	-	-	[d]	[0, 0_सक+ता_हो, 0_जा+या1, 0_सक+एं, 0_दे+ता_है, 0_आ+गा, 0_दे+या_था, या_जा+या१_था, था, या_जा+या1_है, या_हो+या_था, या_हो+या, ना_पड_रह+या_है, या_रह+ता_है, ना_दे+या, 0_पा_रह+या_है, या_जा_रह+या_था, ना_चाहिए, या_जा+ता_है, 0_रह+या_था, ता, है, या_था, एं, ता_था, गा, 0_जा+या१, या_जा+या१, 0_चुक+या_है, 0_पा+या, या_जा_सक+एं, 0_दे+या, ता_है, या_जा+या१_है, 0_दे+या_जा+या१_है, 0_जा+ता, या_जा+या1_था, या_जा+एं, ना_पड़+ता_है, 0_रह+या_है, या_है, 0_दे+गा, या, या_जा_रह+या_है]	[wA, hE, 0, , gA, WA, yA, nA, eM]	[avy, pn, unk, n]	-	-	-	-	[0, , 0_का, का, 0_मुताबिक, 0_के_पास, 0_में, से, 0_को, 0_पर, 0_तक, में, को, 0_का_तरफ_का, 0_के_जरिये]	[0, , ko, kA, se, meM, ke]	1
lwg_vaux_cont	[VAUX]	[VAUX]	[v]	-	-	-	-	[गा, या, है, या1, एं, ता, था, 0, या१, ना]	[nA, yA, gA, yA1, WA, 0, wA, hE, eM]	[v]	-	-	-	[d]	[या, या1, या१, ता, 0, ना]	[nA, yA, yA1, 0, wA]	1
lwg_vaux	[VAUX]	[VM]	[v]	-	-	-	-	[या, या1, एं, ना, कर, या१, था, गा, है, ता, 0]	[yA1, , ya1, nA, gA, kara, WA, wA, yA, hE, eM, 0]	[v]	-	-	-	-	-	[yA1, nA, WA, wA, yA, 0]	1
rd	[NNP, PRP, VM, NN, CC]	[VM]	[n, pn, avy, v]	-	-	-	[o]	[0_के_तरफ, 0_ओर, 0_के_प्रति, 0_का_ओर, ना_के_प्रति, 0_का_तरफ_से, 0_का_ओर_से]	[nA, 0]	[unk, v]	-	-	-	[o]	[या_जा+या१, था, या, 0_रह+या_था, या_जा+या१_था, या_जा_रह+या_था, या_जा+ना_के_बाद, गा, ता_है, 0_जा+या१, 0_दे+या_जा+गा, 0_रह+या_है, 0_दे+या_जा+या१_है, है, ता, या_जा+ता_है, या_जा+या1_है, या_जा+गा, ना_के_लिए, या_है, या_दे_रह+या_था, 0_सक+ता_है, ना_चाहिए]	[nA, wA, hE, yA, 0, gA, WA]	1
ras-pof	[CC]	[VM]	[avy]	-	-	-	-	-	-	[v]	[m]	[sg]	-	-	[या]	[yA]	1
k7t	[VM, PRP, QC, CC, NN, NNP, NST]	[NN, VM, PRP]	[unk, pn, nst, n, avy, num, v]	-	-	-	-	[0_पश्चात, 0_के_बाद, 0_तक, 0_के_समय, 0_पहले, 0_से_पहले, ना_से_पहले, 0_पूर्व, 0, ना_के_दौरान, 0_जा+ना_के_बाद, या_जा+ना_के_बाद, 0_में, ना_के_बाद, 0_से, 0_को, ता_समय, ना_के_बाद_से, 0_के_वक्त, 0_के_करीब, 0_के_दौरान, 0_का_अपेक्षा, 0_बाद, 0_पा+ना_के_बाद, ना_तक, ना_पर, या, 0_के_अंदर, 0_का, 0_पहले_तक, 0_के_आसपास, 0_पर, 0_के_बीच, 0_के_बाद_से]	[wA, nA, yA, ke, se, 0]	[unk, n, v, pn]	-	-	-	-	-	[gA, kara, hE, nA, wA, yA, yA1, WA, 0]	1
pof_redup	[RDP]	[NST, NN, QC, JJ, QCC, RB]	[adj, nst, n, adv, num]	-	-	[3]	-	[0]	[0]	[adj, nst, n, adv, num]	-	-	[3]	-	[ 0_का, 0_पर, 0]	[0]	1
r6v	[NNP]	[VM]	[n]	[m]	[sg]	[3]	[o]	[0_का]	[0]	[v]	-	-	-	-	[कर]	[kara]	1
rt	[NN, CC, PRP, NNP, VM]	[VM, CC]	[avy, n, pn, v]	-	-	-	-	[ना_को, ना_से, 0_को, या_रख+ना_के_लिए, 0_लिए, से, 0, ना, या_जा+ना_के_लिए, 0_बाबत, 0_के_लिए, ना_के_लिए, 0_से, ना_हेतु]	[ke, nA, se, 0, yA]	[avy, unk, v]	-	-	-	[o]	-	[hE, , WA, wA, nA, 0, kara, yA, gA, yA1]	1
k2g	[NN, NNP, JJ]	[VM]	[adj,n]	-	-	[3]	[d]	[0]	[0]	[v]	-	[sg]	-	-	[या_जा+ना_से, ता_है, या_जा+ता_है, ता_हो+या, या_है]	[yA, wA]	1
nmod_adj	[NNP, QO, NN, QC, DEM, QF, JJ]	[NNP, NN, QC, PRP, QF, NST, JJ]	[n, adj, avy, pn, num]	-	-	-	-	[0]	[0]	[n, nst, adj, avy, pn, num]	-	-	-	-	[0_के_तौर_पर, 0_के, 0_का_तरह, 0_के_तरफ, 0_के_साथ, 0_के_लिए, 0_के_आसपास, 0_के_बाद, 0_के_बारे_में, 0_को, 0_के_बजाय, 0_के_बराबर_का, 0_के_अनुसार, 0_से, 0_सहित, 0_का_ओर_से, 0_ने, 0_के_नीचे, 0_के_मुकाबला, 0_पहले_तक, 0_के_बीच, 0_के_कारण, 0_बाद, 0_पहले, 0_का_अपेक्षा, 0_के_सामने, 0_दूर, 0_के_अलावा, 0_का, 0_के_रूप_में, 0_के_प्रति, 0_के_खिलाफ, 0_का_ओर, 0_से_पहले, 0_के_मुताबिक, 0_के_पास_से, 0_तक, 0_के_बराबर, 0_में, 0_के_दौरान, 0_के_मद्देनज़र, 0_के_हवाला_से, 0_समेत, 0_के_हिसाब_से, 0_तक_का, 0_के_बाद_से, 0_द्वारा, 0_में_से, 0_के_मद्देनजर, 0_के_बावजूद, 0_वाला, 0_के_समय, 0_के_मद्देनज़र, 0_के_जरिये, 0_के_अंदर, 0_के_करीब, 0_ऊपर, 0_अंदर, 0, 0_के_विरोध_में, 0_पूर्व, 0_के_पीछे, 0_पर, 0_के_तहत, 0_के_पास]	[ke, 0]	1
lwg_neg	[NEG]	[VM]	[avy]	-	-	-	-	-	-	[v, unk]	-	-	-	-	-	-	1
rs	[NN, VM, RB, NNP, CC]	[NN, VM, NNP, DEM, PRP]	[v, avy, n, adv]	-	-	-	-	[0_कर+ता_था, या_जा+एं, या_जा+ना_पर, 0]	[yA, 0]	[unk, pn, v, n]	-	-	-	-	[का, 0_को, या, 0_का, 0_पर, 0_ने, 0_से, 0]	[kA, yA, 0]	1
vmod	[WQ, VM, CC, NN, NST, NNP, RP, PRP, QF, SYM, RB, NEG]	[VM]	[n, adv, avy, unk, v, nst, pn, adj, punc]	-	-	-	-	[ता, 0_के_बावजूद, ना_का_बाबत, या_जा+या१_है, 0_अतिरिक्त, 0_के_अलावा, 0_से, 0_कर, ना_के_अलावा, ना_के_बावजूद, 0_पा+ता, 0_के_विपरीत, एं, 0_के_खिलाफ, 0_बजाय, ना_लग+या, 0_के_साथ, 0, या_रख+ता_हो+या, 0_अलावा, ना, 0_चलते, कर, 0_के_बजाय, 0_रह+या_है, था, 0_के_बराबर, 0_समेत, 0_का, 0_खिलाफ, 0_साथ, 0_का_तरह, ना_से_पहले, 0_से_पूर्व_का, ता_रह+गा, ना_से, ता_हो+या, ना_के_साथ, ना_वाला_के_खिलाफ, या, से, 0_के, ना_के_खिलाफ]	[ke, , eM, wA, 0, WA, kara, nA, se, yA]	[v, unk]	-	-	-	-	-	[gA, eM, , wA, 0, WA, hE, kara, nA, yA1, yA]	1
